Beauty Insider, #111111, #FFFFFF, #007EFF, #A0F288 Accent, #FF57A7 Accent, #BAA4FF Base, #FFBDEF Base
BI, #111111, #FFFFFF, #007EFF Accent, #F37D00 Accent, #00007C Base, #FFDC31 Secondary
SI, #111111, #FFFFFF, #33BA98 Accent, #FFDC31 Accent, #007EFF Base
Insider, #FFFFFF, #111111, #E62828 Accent, #007EFF Base
Food, #FFFFFF, #111111, #007EFF, #E62828, #2EB8FF, #AEF7FF, #930000, #DB5E00, #FFB0B0, #BF005B, #E0B500, #FFF92E, #8D45FF, #00896A, #F15213
Art, #111111, #FFFFFF, #007EFF Accent, #AEF7FF Accent, #5700D3 Base
TI, #FFFFFF, #111111, #F37D00 Accent, #007EFF Accent, #00007C Base, #33BA98 Secondary
